delta_frame_time,dns_answers_ttl,is_cc_provider,is_ip_private,delay
20,86380,0,1,1.3243122334675157
19,281,0,1,1.0111135280383827
11,3589,0,1,-0.44148511880173313
16,86384,0,1,1.6636999898506806
1,10800,0,1,-1.871767472701771
1,10800,0,1,-0.0943818541141221
1,10800,0,1,-0.6497830861738902
1,10800,0,1,-0.5398056245138309
19,10776,0,1,0.4839860878662563
17,3583,0,1,-1.2025033406899375
17,3583,0,1,1.9444847461526689
19,1781,0,1,-0.12165490694261714
18,282,0,1,1.053683408014912
13,287,0,1,-1.3015603653955952
16,584,0,1,-0.3479388112676217
16,584,0,1,0.48646668062169773
19,1780,0,1,0.03620089486315815
17,283,0,1,1.3053758141327125
12,86388,0,1,0.5535769008548619
15,3600,0,1,0.04568162568055197
15,285,0,1,0.8352319399655188
15,285,0,1,-0.19502539434936828
20,280,0,1,-1.2943269192862792
15,585,0,1,0.7722800894468121
15,165,0,1,-1.9847777485978442
19,281,0,1,-0.7312647150078585
18,17,1,1,-0.0865290331064889
12,130,0,1,-0.3427583800179792
17,3583,0,1,-0.6130178172314911
11,3589,0,1,-0.2611767857970504
16,86384,0,1,-1.0210598270193898
15,14400,0,1,-1.3638390945806975
16,284,0,1,0.5246888197937868
15,86385,0,1,0.7376448770945
19,600,0,1,2.3358654704573363
12,588,0,1,0.13858363155353517
19,281,0,1,0.8596785151359578
18,582,0,1,2.569907783112112
14,286,0,1,-0.4605409564827592
18,582,0,1,1.4338080310454384
17,1183,0,1,1.6146820828738118
13,47,0,1,-0.7942962765653853
19,41,0,1,1.3905787511150443
14,86386,0,1,-1.0058746282727826
14,86386,0,1,1.6404390707118746
19,600,0,1,-0.5855007534550294
18,3582,0,1,1.3126561371428564
18,3582,0,1,-0.4031699352795463
18,360,0,1,-0.3340392100910299
16,584,0,1,1.0714816726704492
13,287,0,1,1.5812256683967727
17,3,0,1,-0.8812370281668932
19,281,0,1,-0.6183094571744079
16,284,0,1,-0.4159299225909148
16,104,1,1,-0.9713716990123871
20,300,0,1,-0.3592934459615666
